run_id,start_idx,end_idx,n_samples,duration_sec,success,pos_err,goal_x,goal_y,final_x,final_y,noise_strength_max,blur_strength_max,brightness_strength_max,group
436,436304,437303,1000,9.99000000203523,False,0.04786004661922913,0.2,-0.15,0.24786004661922914,-0.1499866588090512,0.2677719528906135,0.0,0.0,noise_only
437,437304,438303,1000,9.99000000203523,False,0.11666388861160462,0.2,-0.15,0.17862671583834444,-0.03333611138839538,0.0,0.0,0.8234684733299483,brightness_only
438,438304,439303,1000,9.99000000203523,True,0.0016332611048260337,0.2,-0.15,0.19916576459848048,-0.15163326110482603,0.0,0.0,0.15236323372248117,brightness_only
439,439304,440303,1000,9.99000000203523,False,0.10008577193967201,0.2,-0.15,0.1985876713381005,-0.049914228060327984,0.0,0.16451177324839494,0.0,blur_only
440,440304,441303,1000,9.99000000203523,True,0.005877662093433933,0.2,-0.15,0.20578308465875897,-0.15587766209343393,0.0,0.10360934177383252,0.0,blur_only
441,441304,442303,1000,9.99000000203523,True,0.011897534565712575,0.2,-0.15,0.2118975345657126,-0.1462119167876854,0.0,0.0,0.017783375737963514,brightness_only
442,442304,443303,1000,9.99000000203523,True,0.010087394776234854,0.2,-0.15,0.21008739477623486,-0.15495043543474077,0.0,0.13391753136793927,0.0,blur_only
443,443304,444303,1000,9.99000000203523,False,0.25825918770077616,0.2,-0.15,0.18394730415183064,0.10825918770077617,0.5852239613927371,0.0,0.0,noise_only
444,444304,445303,1000,9.99000000203523,False,0.2313911196329668,0.2,-0.15,0.20589067013633036,0.0813911196329668,0.9004394023476289,0.0,0.0,noise_only
445,445304,446303,1000,9.99000000203523,False,0.22000712459078695,0.2,-0.15,0.2839287530667137,0.07000712459078695,0.7912581685711747,0.0,0.0,noise_only
446,446304,447303,1000,9.99000000203523,True,0.011916031493803936,0.2,-0.15,0.21191603149380395,-0.1419696858167321,0.0,0.0,0.18387321364858988,brightness_only
447,447304,448303,1000,9.99000000203523,False,0.3024079080244795,0.2,-0.15,0.26809230863472144,0.15240790802447948,0.1939965361235404,0.0,0.0,noise_only
448,448304,449303,1000,9.99000000203523,True,0.011521880146553254,0.2,-0.15,0.21152188014655326,-0.15744513879595168,0.0,0.9445347696683049,0.0,blur_only
449,449304,450303,1000,9.99000000203523,False,0.09836000356627944,0.2,-0.15,0.29836000356627945,-0.1465862567862425,0.0,0.0,0.8422147566189978,brightness_only
450,450304,451303,1000,9.99000000203523,True,0.006067924958289922,0.2,-0.15,0.20606792495828993,-0.14542839507717434,0.0,0.027296558156255313,0.0,blur_only
451,451304,452303,1000,9.99000000203523,False,0.06788735601607453,0.2,-0.15,0.20498197631628395,-0.08211264398392547,0.0,0.7277818360727037,0.0,blur_only
452,452304,453303,1000,9.99000000203523,True,0.011318786894060517,0.2,-0.15,0.2018901523679152,-0.1613187868940605,0.0,0.0,0.8717643583031789,brightness_only
453,453304,454303,1000,9.99000000203523,True,0.01235159200624747,0.2,-0.15,0.21235159200624748,-0.15162590550823016,0.0,0.0,0.5108334951288632,brightness_only
454,454304,455303,1000,9.99000000203523,True,0.004367457329493979,0.2,-0.15,0.20299278730458067,-0.15436745732949397,0.0,0.4149789665974183,0.0,blur_only
455,455304,456303,1000,9.99000000203523,True,0.008059831037496135,0.2,-0.15,0.2057816397876077,-0.15805983103749613,0.0,0.0,0.3676516353704934,brightness_only
456,456304,457303,1000,9.99000000203523,True,0.018679232477715718,0.2,-0.15,0.21829482863551875,-0.1686792324777157,0.0,0.0,0.705560490290183,brightness_only
457,457304,458303,1000,9.99000000203523,False,0.274211507609722,0.2,-0.15,0.21562500736190945,0.124211507609722,0.0,0.0,0.9972606602802105,brightness_only
458,458304,459303,1000,9.99000000203523,False,0.2767804620950815,0.2,-0.15,0.36944693616660074,0.1267804620950815,0.0,0.1878869777140415,0.0,blur_only
459,459304,460303,1000,9.99000000203523,False,0.17768619759058912,0.2,-0.15,0.2491579683868582,0.02768619759058913,0.0,0.0,0.5333831836868387,brightness_only
460,460304,461303,1000,9.99000000203523,False,0.07172707906287207,0.2,-0.15,0.20991397412375942,-0.07827292093712793,0.0,0.0,0.11945102079119907,brightness_only
461,461304,462303,1000,9.99000000203523,False,0.11466672585842079,0.2,-0.15,0.2580320244935414,-0.035333274141579205,0.0,0.9273224741760331,0.0,blur_only
462,462304,463303,1000,9.99000000203523,False,0.268852412784986,0.2,-0.15,0.27550510622967794,0.11885241278498601,0.0,0.7416406586087628,0.0,blur_only
463,463304,464303,1000,9.99000000203523,True,0.01520467221377797,0.2,-0.15,0.21520467221377798,-0.15542028294919963,0.0,0.0,0.6313645404904572,brightness_only
464,464304,465303,1000,9.99000000203523,True,0.011142711785169984,0.2,-0.15,0.21114271178517,-0.15512684521310285,0.0,0.0,0.2556723685105422,brightness_only
465,465304,466303,1000,9.99000000203523,False,0.12449283533746522,0.2,-0.15,0.3208228021749671,-0.025507164662534776,0.0,0.9732581961085942,0.0,blur_only
466,466304,467303,1000,9.99000000203523,True,0.0038647120397016788,0.2,-0.15,0.19613528796029833,-0.1516548876327591,0.0,0.09579142022471865,0.0,blur_only
467,467304,468303,1000,9.99000000203523,True,0.0072129173397810775,0.2,-0.15,0.20599443645605878,-0.15721291733978107,0.0,0.0,0.1071827750065103,brightness_only
468,468304,469303,1000,9.99000000203523,True,0.017507469672954468,0.2,-0.15,0.21750746967295448,-0.16280361120990583,0.0,0.0,0.18774358719202078,brightness_only
