experiment,episode_key,time_s,failure_probability,mttf_h,joint_travel_rad,move_time_s
pi05_standard,demo_000035,23.610546018999997,5.120347715652802e-07,12808.66758923893,5.2601247761,9.008364225000001
pi05_standard,demo_000036,27.357138195,5.843247370054188e-07,13005.10311133651,4.7401693757,5.49421162
pi05_standard,demo_000037,22.459039979,4.831028856024556e-07,12913.648268572237,4.6867185865000005,5.460276864
pi05_standard,demo_000038,26.493806124,5.574690108492835e-07,13201.43082951297,4.6101830392,7.439357256999999
pi05_standard,demo_000039,27.042054864,5.782109711654409e-07,12991.243635858407,5.1147435064,12.013263027999999
pi05_standard,demo_000040,25.11109125,5.44154271628595e-07,12818.60961208883,5.0695586767,8.528479836999999
pi05_standard,demo_000041,24.399080599999998,5.269306357660628e-07,12862.26344319141,4.8908020582,6.762801363
pi05_standard,demo_000042,22.910871387,4.908295096986326e-07,12966.069995631153,4.972631580999999,6.077847162
pi05_standard,demo_000043,23.117078682,4.976088590069192e-07,12904.53229417213,4.7623139354,4.982240972
pi05_standard,demo_000044,27.876780743999998,6.004157519393385e-07,12896.975972134336,5.1483274929,11.329909651
pi05_standard,demo_000053,34.568814554,7.366729733417101e-07,13034.880808831833,4.467688487300001,26.668339445
pi05_standard,demo_000054,6.62712809,1.417965358897783e-07,12982.466898594228,1.8541056121000001,0.731997706
pi05_standard,demo_000055,33.338203726,7.045475017724739e-07,13144.051392729216,5.4441650908,17.233618815
pi05_standard,demo_000056,29.00929166,6.211612314836085e-07,12972.692977856674,4.6762224391,8.477077036
pi05_standard,demo_000057,29.382016117,6.261986213578045e-07,13033.674980237707,4.5114781295999995,11.015445694
pi05_standard,demo_000058,28.312236408000004,6.001621161826499e-07,13103.972204522302,4.7320300373,9.834402905000001
pi05_standard,demo_000059,28.567433249,5.958687175392118e-07,13317.355835268956,4.196413167,9.376918272
pi05_standard,demo_000060,27.443488184,5.841964896891976e-07,13049.016340280512,4.435552335600001,7.971297623
pi05_standard,demo_000061,27.912065391,5.934869964746994e-07,13064.058448015625,4.663740572599999,11.654150625
pi05_standard,demo_000062,26.954251086000003,5.661787990736955e-07,13224.249183917174,4.562045244799999,9.336244365
pi05_standard,demo_000063,27.379472459000002,5.726752313233439e-07,13280.487878653497,4.8837186408,9.721619716
pi05_standard,demo_000064,33.064121895,6.880081468463071e-07,13349.368959811056,4.741773943199999,15.700694831
pi05_standard,demo_000065,22.622988716000002,4.7462701428922054e-07,13240.211492898854,4.377391943499999,7.478267082
pi05_standard,demo_000066,27.968335209,5.836373832510773e-07,13311.312762673286,5.242533223400001,8.798912056
pi05_standard,demo_000067,26.221340835000003,5.439733495628173e-07,13389.81716446324,5.284733259099999,9.500367414
pi05_standard,demo_000068,24.933436332,5.221721974472135e-07,13263.732651852268,4.9992315372,7.333386966
pi05_standard,demo_000069,33.548198623000005,6.923866611292912e-07,13459.156833606785,5.447414948199999,16.269779606
pi05_standard,demo_000070,30.038933274,6.225139437113482e-07,13403.949577062562,5.1359396227,10.609864575
pi05_standard,demo_000071,28.33836194,5.880708783409078e-07,13385.741023828754,5.4480062689,9.957310703000001
pi05_standard,demo_000072,31.929894704999995,6.899251580190428e-07,12855.614737276846,5.3933017255,15.883070434
pi05_standard,demo_000073,22.375770218999996,4.783205202753788e-07,12994.404316449378,4.609765092100001,5.6120203559999995
pi05_standard,demo_000074,25.496959328000003,5.495332996601713e-07,12888.18485648696,4.9853212909,6.931639456999999
pi05_standard,demo_000075,27.378453346,5.879262738950222e-07,12935.50563818402,4.948003922000001,9.619712947
pi05_standard,demo_000076,24.943322564,5.367862979963735e-07,12907.741663627434,4.7872944064,7.563733546
pi05_standard,demo_000077,25.404027154,5.504751610319521e-07,12819.238128888768,5.457903741000001,9.787425167
pi05_standard,demo_000078,25.839978832,5.511154468887546e-07,13024.076787440139,4.8530527304,9.597334737
pi05_standard,demo_000079,21.81091806,4.653762769374477e-07,13018.684388565502,4.606145253699999,6.955689776
pi05_standard,demo_000080,34.173144755,7.252707232323534e-07,13088.266608498354,5.3380635707,16.641778585
pi05_standard,demo_000081,30.752423174,6.569145794614021e-07,13003.725373767915,5.6883879732,13.920047247
pi05_standard,demo_000082,23.859383086999998,5.217953253342061e-07,12701.540306898003,5.4075016114,8.87054341
pi05_standard,demo_000083,25.940359258999997,5.465161265434816e-07,13184.703754880917,5.252254121099999,8.734628525
pi05_standard,demo_000084,23.839412277,4.981525864397614e-07,13293.230647299444,5.4488556907,7.086175318
pi05_standard,demo_000085,26.054021234,5.625450131751267e-07,12865.149884141412,5.5381983524,9.947472903
pi05_standard,demo_000086,23.803779421,5.217237161163791e-07,12673.679434433543,5.4209293778,8.51392379
pi05_standard,demo_000087,27.543077624,5.792802496189423e-07,13207.516287935558,4.550172554999999,7.809695134
pi05_standard,demo_000088,26.909358202,5.633473327168093e-07,13268.580861592265,4.183368725199999,8.625118383
pi05_standard,demo_000089,26.046529619999998,5.527790329206585e-07,13088.6759771835,4.6690475016,5.462804444
pi05_standard,demo_000090,24.596647349,5.219741382272094e-07,13089.538889730753,4.4055833695999995,6.084904562
pi05_standard,demo_000091,26.917811146000002,5.59572950647088e-07,13362.2751115313,4.3504243964,7.753224178
pi05_standard,demo_000092,23.388690033000003,5.014873320233554e-07,12955.17575851872,4.312940757499999,7.288076705
pi05_standard,demo_000093,26.998288784000003,5.754880803247922e-07,13031.586131354024,4.529566728599999,9.292580229999999
pi05_standard,demo_000094,25.576725156,5.287598122718249e-07,13436.429098666049,4.6439413473,7.388455664
pi05_standard,demo_000095,26.890663722,5.646419505789798e-07,13228.961026889227,4.6850628655,10.424205311
pi05_standard,demo_000096,28.016097309000003,5.776152273874577e-07,13473.064088848147,4.567283035,9.835183799
