experiment,policy,condition,component,effective_exposure_s,hazard,active_time_s,travel
pi05_standard,pi05,standard,wrist_camera,26.084590898525665,4.473507341398771e-10,0.0,0.0
smolvla_standard,smolvla,standard,controller,28.468284409163626,1.0281795386890296e-10,0.0,0.0
smolvla_standard,smolvla,standard,front_camera,28.468284409163626,4.88231077868351e-10,0.0,0.0
smolvla_standard,smolvla,standard,gripper,1.2583458894971036,1.540215425301166e-09,1.2583458894971036,1.2538777282210907
smolvla_standard,smolvla,standard,joint_1,25.14001786979883,4.988098784909579e-08,24.522601176715167,0.16305389506707754
smolvla_standard,smolvla,standard,joint_2,65.86865419090583,1.3069177422025267e-07,28.468284409163626,1.1800559814367013
smolvla_standard,smolvla,standard,joint_3,26.79468300927696,5.316405360283113e-08,25.27984960903522,0.4634606375108364
smolvla_standard,smolvla,standard,joint_4,52.928656807678664,1.0501717623138295e-07,28.468284409163626,1.0947933484950247
smolvla_standard,smolvla,standard,joint_5,33.55909714287651,6.658551022039682e-08,28.42513533087889,0.09119679257680538
smolvla_standard,smolvla,standard,joint_6,48.939541038663585,9.71022639893389e-08,28.468284409163626,1.5446312837770937
smolvla_standard,smolvla,standard,joint_7,32.68164761031736,6.484453892521103e-08,28.25916086541256,0.5258465250335889
smolvla_standard,smolvla,standard,power_supply,28.468284409163626,3.16662227478282e-08,0.0,0.0
smolvla_standard,smolvla,standard,wrist_camera,28.468284409163626,4.88231077868351e-10,0.0,0.0
act_new_colors,act,new_colors,controller,30.361575210231468,1.0965588914616722e-10,0.0,0.0
act_new_colors,act,new_colors,front_camera,30.361575210231468,5.207010151233704e-10,0.0,0.0
act_new_colors,act,new_colors,gripper,1.1962766167477314,1.4642426326662137e-09,1.1962766167477314,1.1126994245888504
act_new_colors,act,new_colors,joint_1,27.480556315985375,5.4524913338696363e-08,26.884886510206016,0.15342901572844977
act_new_colors,act,new_colors,joint_2,72.17635961083772,1.432070627549229e-07,30.361575210231468,1.2071421258000887
act_new_colors,act,new_colors,joint_3,31.397207350720443,6.229604634602273e-08,29.60173429414171,0.44069829421265516
act_new_colors,act,new_colors,joint_4,54.268892652804496,1.0767637433744142e-07,30.361575210231468,1.079788131309384
act_new_colors,act,new_colors,joint_5,34.77825300803286,6.900447027090153e-08,30.3541735873526,0.04602792917911991
act_new_colors,act,new_colors,joint_6,53.70776065175386,1.0656301719222749e-07,30.361575210231468,1.522163889346609
act_new_colors,act,new_colors,joint_7,35.06607627693065,6.957554818552085e-08,30.18405319311616,0.680179033356953
act_new_colors,act,new_colors,power_supply,30.361575210231468,3.377219328582557e-08,0.0,0.0
act_new_colors,act,new_colors,wrist_camera,30.361575210231468,5.207010151233704e-10,0.0,0.0
pi05_new_colors,pi05,new_colors,controller,26.598252460542614,9.606402181373495e-11,0.0,0.0
pi05_new_colors,pi05,new_colors,front_camera,26.598252460542614,4.5616002993300016e-10,0.0,0.0
pi05_new_colors,pi05,new_colors,gripper,1.102092365901103,1.3489611053968028e-09,1.102092365901103,1.0782180704168098
pi05_new_colors,pi05,new_colors,joint_1,24.082856004735454,4.77834444655208e-08,23.541008883831232,0.06345544839724616
pi05_new_colors,pi05,new_colors,joint_2,61.10121951159144,1.2123257842564995e-07,26.598252460542614,1.1560761368957264
pi05_new_colors,pi05,new_colors,joint_3,25.39809654419328,5.039304871111472e-08,23.85196293086547,0.53557749067389
pi05_new_colors,pi05,new_colors,joint_4,49.193249020188084,9.760565284169311e-08,26.598252460542614,1.0236072381223724
pi05_new_colors,pi05,new_colors,joint_5,31.42599899176884,6.235317261795812e-08,26.541293903189874,0.04767318277989517
pi05_new_colors,pi05,new_colors,joint_6,45.795330760477306,9.086375153109508e-08,26.598252460542614,1.5568340944641479
pi05_new_colors,pi05,new_colors,joint_7,29.996322103388934,5.9516512124447423e-08,26.17269306639351,0.5512241606058087
pi05_new_colors,pi05,new_colors,power_supply,26.598252460542614,2.9586123807565858e-08,0.0,0.0
pi05_new_colors,pi05,new_colors,wrist_camera,26.598252460542614,4.5616002993300016e-10,0.0,0.0
smolvla_new_colors,smolvla,new_colors,controller,28.588446117035897,1.03251937903882e-10,0.0,0.0
smolvla_new_colors,smolvla,new_colors,front_camera,28.588446117035897,4.902918511594207e-10,0.0,0.0
smolvla_new_colors,smolvla,new_colors,gripper,1.192668792040657,1.4598266550625994e-09,1.192668792040657,1.110209132103194
smolvla_new_colors,smolvla,new_colors,joint_1,25.084200688909714,4.977023947428872e-08,24.5714301889881,0.10833422059012136
smolvla_new_colors,smolvla,new_colors,joint_2,66.51077906618674,1.3196583151278816e-07,28.588446117035897,1.1780150220410128
smolvla_new_colors,smolvla,new_colors,joint_3,27.201173160537984,5.397058168092714e-08,25.60100558624291,0.5196292750580782
smolvla_new_colors,smolvla,new_colors,joint_4,52.29033242543995,1.0375065959964736e-07,28.588446117035897,1.0844703229612849
smolvla_new_colors,smolvla,new_colors,joint_5,33.27776375428495,6.602730905241995e-08,28.572641661936817,0.06953664605194575
smolvla_new_colors,smolvla,new_colors,joint_6,49.56183974558965,9.833698364624006e-08,28.588446117035897,1.4853922181442119
smolvla_new_colors,smolvla,new_colors,joint_7,32.73749682171966,6.495535085262362e-08,28.398639545836353,0.4893348592295466
smolvla_new_colors,smolvla,new_colors,power_supply,28.588446117035897,3.1799882625345025e-08,0.0,0.0
smolvla_new_colors,smolvla,new_colors,wrist_camera,28.588446117035897,4.902918511594207e-10,0.0,0.0
pi05_switched_boxes,pi05,switched_boxes,controller,25.71296400850576,9.286665502078207e-11,0.0,0.0
pi05_switched_boxes,pi05,switched_boxes,front_camera,25.71296400850576,4.4097733297275664e-10,0.0,0.0
pi05_switched_boxes,pi05,switched_boxes,gripper,1.2728811981301968,1.5580066437213656e-09,1.2728811981301968,1.2788482025802415
pi05_switched_boxes,pi05,switched_boxes,joint_1,22.816599205281726,4.527103018027623e-08,22.193321253714792,0.19002142889040724
pi05_switched_boxes,pi05,switched_boxes,joint_2,59.26284273033146,1.1758500544606786e-07,25.71296400850576,1.1050548864654959
pi05_switched_boxes,pi05,switched_boxes,joint_3,23.913029069823526,4.74464862612481e-08,22.552098410535987,0.3459774295596711
pi05_switched_boxes,pi05,switched_boxes,joint_4,47.693204243384045,9.462937352190991e-08,25.71296400850576,1.0963433797093698
pi05_switched_boxes,pi05,switched_boxes,joint_5,29.38958130837747,5.8312661340400236e-08,25.574192011072576,0.04374940756772082
pi05_switched_boxes,pi05,switched_boxes,joint_6,44.50224805034642,8.829811123258917e-08,25.71296400850576,1.6588006947681826
pi05_switched_boxes,pi05,switched_boxes,joint_7,30.079503348341166,5.968155427717077e-08,25.614309430877263,0.6481384173827393
pi05_switched_boxes,pi05,switched_boxes,power_supply,25.71296400850576,2.8601387919889563e-08,0.0,0.0
pi05_switched_boxes,pi05,switched_boxes,wrist_camera,25.71296400850576,4.4097733297275664e-10,0.0,0.0
smolvla_switched_boxes,smolvla,switched_boxes,controller,27.72517744661832,1.0013409922221939e-10,0.0,0.0
smolvla_switched_boxes,smolvla,switched_boxes,front_camera,27.72517744661832,4.754867934541422e-10,0.0,0.0
smolvla_switched_boxes,smolvla,switched_boxes,gripper,1.2669776140486004,1.5507806565401534e-09,1.2669776140486004,1.2722268565055026
smolvla_switched_boxes,smolvla,switched_boxes,joint_1,24.060869311310665,4.7739820073794276e-08,23.46453116029268,0.15403060697573573
smolvla_switched_boxes,smolvla,switched_boxes,joint_2,64.62111874353197,1.2821650547485818e-07,27.72517744661832,1.1426969751857399
smolvla_switched_boxes,smolvla,switched_boxes,joint_3,25.739723857330784,5.107088068179132e-08,24.208284404421406,0.4308818603736985
smolvla_switched_boxes,smolvla,switched_boxes,joint_4,51.24132076468865,1.0166928725637804e-07,27.72517744661832,1.0296940084971808
smolvla_switched_boxes,smolvla,switched_boxes,joint_5,32.48388856837172,6.445215987363564e-08,27.72517744661832,0.10957334664021502
smolvla_switched_boxes,smolvla,switched_boxes,joint_6,48.060532199031435,9.535819883091226e-08,27.72517744661832,1.5347685060219458
smolvla_switched_boxes,smolvla,switched_boxes,joint_7,31.924008641809262,6.334128700320051e-08,27.57203317684514,0.5339831702623814
smolvla_switched_boxes,smolvla,switched_boxes,power_supply,27.72517744661832,3.0839640075573915e-08,0.0,0.0
smolvla_switched_boxes,smolvla,switched_boxes,wrist_camera,27.72517744661832,4.754867934541422e-10,0.0,0.0
