trial,x_plan,y_plan,z_plan,x_real,y_real,z_real
43,0.33016365141032417,0.2975047573969464,0.015,0.3280780997870831,0.2956757826217412,0.01489229442772125
44,0.42670368936557296,0.3085022367844602,0.015,0.4240505773064132,0.29931368532276675,0.014892294459472976
45,0.3209612544375289,-0.21302225369886296,0.015,0.32575625250319973,-0.20559855809914923,0.0148922944615681
46,0.4729684691861813,0.21908791208425382,0.015,0.4772966559814754,0.22504691095301188,0.014892294460508658
47,0.34368819074287454,0.08270958152097052,0.015,0.34209620570294497,0.09311640283485706,0.014892294457666976
48,0.48763139254198284,0.03719872331323648,0.015,0.48933074420999656,0.049751082228870265,0.014892294457509997
49,0.49334282517760386,0.1002671356138598,0.015,0.49961003699912127,0.09935737332980649,0.01489229446377324
50,0.41494230154192935,0.22520212504561887,0.015,0.412576645814268,0.2292683454622292,0.014892294457585237
51,0.5308923345798221,0.31377383566532746,0.015,0.5295099526786357,0.32315640281539626,0.014646339256959738
52,0.47325258052108254,-0.026815568514380717,0.015,0.4774304316110058,-0.022479090716495332,0.014892287298601101
53,0.3803897601618021,0.18615816836653254,0.015,0.41613295103295034,0.17803821858867022,0.014892294464100907
54,0.32610658867585474,-0.10902160182895937,0.015,0.32919167719632403,-0.10873051832048691,0.014892294462515448
55,0.46392332170076334,0.007232463292119795,0.015,0.462872833955497,0.007533092292243785,0.014892294457527025
56,0.4603187557911801,0.3066035944990285,0.015,0.4616186974122989,0.3069505218263876,0.014892294457240565
57,0.4133241511140012,-0.16023221286432032,0.015,0.4122467817261042,-0.15787551645041437,0.01489226602758827
58,0.33810064558436537,0.4176461704302521,0.015,0.3345029773720489,0.4138360248377884,0.01489229446383379
59,0.3138234685573794,-0.30830297414178365,0.015,0.30910061702701747,-0.3123296593194065,0.014892294462399478
60,0.31744201277345035,0.2999343951747332,0.015,0.3223779547415197,0.31160251022377905,0.014892294457161044
61,0.41222722970293724,0.3627395748136225,0.015,0.41463606748914705,0.3649311686664538,0.014892294457233673
62,0.3473626320194044,-0.3670287084288528,0.015,0.3525701201846081,-0.35375867616722295,0.01489229445912948
63,0.4597381496044668,0.01050124503612071,0.015,0.49458644011727076,0.006590009121872013,0.014892294457523728
64,0.42421010263444403,-0.07318716757175148,0.015,0.4237665138288662,-0.06935361144059642,0.014892294365425482
65,0.49184527047024956,0.1677854433123782,0.015,0.488191188397471,0.17159025237846715,0.01489229445759859
66,0.3065120995192847,-0.19107376433970502,0.015,0.31796830775745505,-0.1905490602025664,0.014892294447466758
67,0.5351322836509124,0.27780159587066766,0.015,0.541387297034494,0.2790751780899718,0.014876891399917776
68,0.5485709234813528,0.17974756762015853,0.015,0.5490434482371083,0.18246247906373247,0.014892294459172388
69,0.44574031904506617,-0.012168097519836829,0.015,0.44285696748996634,-0.009125871249882725,0.014892294457127987
70,0.37238407125775985,0.19087878786732726,0.015,0.3851448839233524,0.19720735876799939,0.014892294457396094
71,0.5185702563890254,0.1181776305890826,0.015,0.5252716671701251,0.12467956848558469,0.014892294457210853
72,0.5277688921997727,-0.20356649131093862,0.015,0.5234591247670067,-0.186380159273225,0.014892294457192722
73,0.42089556335344636,-0.38049340290505806,0.015,0.41724992962180485,-0.36225412392629985,0.014892294463703716
